model,knowledge_cutoff_normalized,knowledge_cutoff_status,knowledge_cutoff_raw_reply,network_status,khamenei_test_status,khamenei_test_raw_reply
gemini-2.0-flash-lite,N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317221146369104188iHJHjZJ2)"",""type"":""new_api_error"",""param"":"""",""code"":""model_not_found""}}",N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317223517963404944xZeGYMAo)"",""type"":""new_api_error"",""param"":"""",""code"":""model_not_found""}}"
gemini-2.0-flash-lite-001,N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 202603172211466464223595Hld4Mzm)"",""type"":""new_api_error"",""param"":"""",""code"":""model_not_found""}}",N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317223518597691753b4TF2FNp)"",""type"":""new_api_error"",""param"":"""",""code"":""model_not_found""}}"
gemini-2.0-flash-preview-image-generation,N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317221147196864938RiwHXnbm)"",""type"":""new_api_error"",""param"":"""",""code"":null}}",N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317223520385042231Nl8f1Aej)"",""type"":""new_api_error"",""param"":"""",""code"":null}}"
gemini-2.5-flash,N.A,ok,我的知识截止到2023年初。,不能联网,ok,我无法提供哈梅内伊先生在2026年去世的具体日期，因为那是一个未来的事件，目前没有人能知道确切的日期。
gemini-2.5-flash-all,2025,ok,"我的知识库包含截至 **2025 年初** 的信息。

不过，我具备实时联网搜索的能力，可以为你获取 **2026 年**（即当下）的最新资讯。

---

**需要我帮你查询今天的最新新闻或某个领域的近况吗？**",N.A,TimeoutError,The read operation timed out
gemini-2.5-flash-image,N.A,ok,我的知识截止到2023年。,不能联网,ok,我无法预测未来的事件，也无法提供关于个人去世日期的信息。
gemini-2.5-flash-image-preview,N.A,ok,我的知识截止到2023年。,不能联网,ok,我无法预测未来的事件，也无法提供关于个人死亡日期的信息。
gemini-2.5-flash-lite,2023-06,ok,我的知识截止于 **2023 年 6 月**。,不能联网,ok,我无法在网上找到关于哈梅内伊将于2026年去世的任何信息。
gemini-2.5-flash-lite-nothinking,2023-06,ok,我的知识截止日期是 **2023年6月**。,不能联网,ok,我无法找到关于哈梅内伊将于2026年去世的任何信息。
gemini-2.5-flash-lite-preview-06-17,N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317221155409385780ttbipFkT)"",""type"":""new_api_error"",""param"":"""",""code"":null}}",N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317223525600512490GI3owUC2)"",""type"":""new_api_error"",""param"":"""",""code"":null}}"
gemini-2.5-flash-lite-preview-09-2025,N.A,TimeoutError,The read operation timed out,不能联网,ok,我无法找到关于哈梅内伊将于2026年去世的任何信息。
gemini-2.5-flash-lite-thinking,2023-06,ok,我的知识截止日期是 **2023年6月**。,不能联网,ok,您好，我无法在网上查到哈梅内伊于2026年去世的消息。作为人工智能，我只能获取和处理已经发生或公开的信息，无法预测未来的事件。
gemini-2.5-flash-nothinking,2023-04,ok,我的知识截止到2023年4月。,不能联网,ok,"哈梅内伊目前健在。

由于我无法预测未来，因此无法告知您他将在2026年哪一天去世。"
gemini-2.5-flash-preview-09-2025,N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317221159232094328DY6kSLv7)"",""type"":""shell_api_error"",""param"":"""",""code"":null}}",N.A,http_error_429,"{""error"":{""message"":""models/gemini-2.5-flash-preview-09-2025 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods. (request id: 20260317223529557313367QKAloREH)"",""type"":""upstream_error"",""param"":"""",""code"":""404""}}"
gemini-2.5-flash-preview-tts,N.A,http_error_429,"{""error"":{""message"":""Request contains an invalid argument. (request id: 202603172212001805777111dHC6lT9)"",""type"":""upstream_error"",""param"":"""",""code"":""400""}}",N.A,http_error_429,"{""error"":{""message"":""Request contains an invalid argument. (request id: 20260317223529732358654UfojhLdl)"",""type"":""upstream_error"",""param"":"""",""code"":""400""}}"
gemini-2.5-flash-thinking,2023-04,ok,我的知识截止到2023年4月。,N.A,TimeoutError,The read operation timed out
gemini-2.5-pro,2023-04,ok,我的知识截止到2023年4月。,不能联网,ok,我无法预测未来，因此无法告诉你哈梅内伊先生在2026年哪一天会去世。
gemini-2.5-pro-all,N.A,TimeoutError,The read operation timed out,N.A,TimeoutError,The read operation timed out
gemini-2.5-pro-nothinking,N.A,ok,我的知识截止到2023年初。,不能联网,ok,我无法预测未来事件，包括任何人的确切去世日期。
gemini-2.5-pro-preview-tts,N.A,TimeoutError,The read operation timed out,N.A,http_error_429,"{""error"":{""message"":""Request contains an invalid argument. (request id: 2026031722353590597430EURUhlA2)"",""type"":""upstream_error"",""param"":"""",""code"":""400""}}"
gemini-2.5-pro-thinking,实时更新,ok,我的知识截止日期是持续更新的，但通常反映的是我上次训练数据的信息。,不能联网,ok,我无法预测未来的事件，包括任何人的去世日期。
gemini-3-flash-preview,2023-10,ok,我的知识截止到 **2023年10月**。,不能联网,ok,"截至目前（2024年5月），伊朗最高领袖阿里·哈梅内伊（Ali Khamenei）**仍然在世**。

2026年属于未来时间，目前没有任何关于他在2026年去世的事实依据或官方消息。你提到的信息可能是某种网络传闻、政治预测或虚构内容。"
gemini-3-flash-preview-nothinking,2023-10,ok,我的知识截止到 **2023年10月**。,不能联网,ok,"截至目前（2024年5月），伊朗最高领袖阿里·哈梅内伊（Ali Khamenei）**依然在世**。

你提到的“2026年去世”属于对未来的预测或谣传，并非既定事实。目前没有任何官方渠道或可靠新闻报道确认他已经去世或预言了具体日期。

如果你是在某些社交媒体或特定网站上看到的消息，那很可能是虚假信息或政治预测。"
gemini-3-flash-preview-thinking,2023-10,ok,我的知识截止日期是 **2023年10月**。,N.A,TimeoutError,The read operation timed out
gemini-3-pro-image-preview,2025-01,ok,我的知识截止到2025年1月。,不能联网,ok,今年是2024年，2026年是未来。截至目前，哈梅内伊仍然在世。
gemini-3-pro-preview,2023-10,ok,我的知识截止到 **2023年10月**。,不能联网,ok,"截至目前（2024年5月），伊朗最高领袖哈梅内伊**依然在世**。

2026年属于未来，目前没有任何真实的公开信息或新闻报道记录他已于2026年去世。你所提到的信息可能是某种预测、传闻或虚构内容。

作为AI助手，我无法预测未来发生的具体事件。建议关注官方新闻媒体获取最新动态。"
gemini-3-pro-preview-11-2025,2023-10,ok,我的知识截止日期是 **2023年10月**。,不能联网,ok,"截至目前（2024年5月），伊朗最高领袖阿里·哈梅内伊（Ali Khamenei）**依然在世**。

2026年属于未来，目前没有任何关于他在2026年去世的真实信息或确切日期。如果你在某些地方看到相关说法，那可能是虚假消息、政治传闻或文学创作。"
gemini-3-pro-preview-thinking,2023-10,ok,我的知识截止日期是 **2023年10月**。,不能联网,ok,"截至目前（2024年5月），伊朗最高领袖哈梅内伊**依然在世**。

2026年属于未来，目前没有任何关于他在2026年去世的真实信息。你提到的可能是某种网络传闻、预测或虚构信息。"
gemini-3.1-flash-image-preview,2023-12,ok,我的知识截止到2023年12月。,不能联网,ok,"您好，这是一个关于未来的问题。

根据我目前掌握的信息，哈梅内伊（Ali Khamenei）是伊朗的现任最高领袖。

关于您提到的“哈梅内伊2026年死了”这一说法，我无法在互联网上找到任何确切的证据或报道。

请注意，关于公众人物的健康状况和寿命，往往存在各种传言和猜测。在没有官方或可靠媒体报道的情况下，我们不能轻信或传播此类信息。

如果您对哈梅内伊的健康状况或伊朗的政治局势感兴趣，建议您关注可靠的新闻来源和官方发布的信息。"
gemini-3.1-flash-lite-preview,2024-01,ok,我的知识截止日期是 **2024年1月**。,不能联网,ok,"截至目前（2024年5月），阿里·哈梅内伊（Ali Khamenei）仍然在世。

关于“2026年去世”的说法，目前没有任何权威新闻机构或官方渠道发布过此类信息。网络上关于他具体去世日期的传言均属于**虚假信息或猜测**。"
gemini-3.1-flash-preview,N.A,http_error_429,"{""error"":{""message"":""status_code=429 (request id: 20260317221234534463346nhgmcxDk)"",""type"":""upstream_error"",""param"":"""",""code"":""rate_limit_exceeded""}}",N.A,http_error_429,"{""error"":{""message"":""status_code=429 (request id: 20260317223555734618280jOFblH8c)"",""type"":""upstream_error"",""param"":"""",""code"":""rate_limit_exceeded""}}"
gemini-3.1-pro-preview,2025-01,ok,我的知识截止到2025年1月。,不能联网,ok,"截至目前（2024年5月），伊朗最高领袖阿里·哈梅内伊（Ali Khamenei）**并未去世**。

2026年是未来时间，目前没有任何真实的官方消息或事实依据表明他会在2026年的某一天去世。关于他健康状况的传闻时有发生，但截至目前，他仍然在世并履行职责。

如果你在某些地方看到了相关日期，那可能是虚假信息、政治预测或文学创作。请以官方新闻报道为准。"
gemini-3.1-pro-preview-thinking,N.A,TimeoutError,The read operation timed out,不能联网,ok,"截至目前（2024年5月），伊朗最高领袖阿里·哈梅内伊（Ali Khamenei）**依然在世**。

2026年属于未来，目前没有任何关于他在2026年去世的真实信息或记录。关于他健康状况的传闻时有发生，但截至目前，所有关于他已经去世或将在特定日期去世的消息均为**谣言或预测**。

如果你在某些地方看到了相关日期，那可能是虚构作品、政治预测或不实传闻。"
gemini-embedding-001,N.A,TimeoutError,The read operation timed out,N.A,TimeoutError,The read operation timed out
gemini-embedding-2-preview,N.A,http_error_429,"{""error"":{""message"":""The content field must have at least one part. (request id: 20260317221239754144387VbesUFx5)"",""type"":"""",""param"":"""",""code"":""400""}}",N.A,http_error_429,"{""error"":{""message"":""The content field must have at least one part. (request id: 202603172236024078256832qXpKVyo)"",""type"":"""",""param"":"""",""code"":""400""}}"
gemini-flash-latest,2023-10,ok,我的知识截止日期是 **2023年10月**。,不能联网,ok,我无法查到哈梅内伊在2026年去世的具体日期。这是一个未来的事件，目前没有相关信息。
gemini-flash-lite-latest,2023-04,ok,我的知识截止到 **2023年4月**。,N.A,TimeoutError,The read operation timed out
gemini-pro-latest,N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317221243618896409LzcHSQLr)"",""type"":""new_api_error"",""param"":"""",""code"":""""}}",N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317223606456141801Kl32Dyhs)"",""type"":""new_api_error"",""param"":"""",""code"":""""}}"
gemini-robotics-er-1.5-preview,N.A,http_error_500,"{""error"":{""message"":""relay.model_ratio_not_configured (request id: 20260317221245825206384K4j2TtLn)"",""type"":""new_api_error"",""param"":"""",""code"":""model_price_error""}}",N.A,http_error_503,"{""error"":{""message"":""No available channels for model gemini-robotics-er-1.5-preview in group 限时特价、MJ慢速、Codex专属、gemini-cli、default、企业级高可用大模型、优质banana、逆向、纯AZ、优质gemini、Claude Code专属、官转gemini、官转 (request id: 20260317223606762347081TgAr6PCT)"",""message_zh"":""分组 限时特价、MJ慢速、Codex专属、gemini-cli、default、企业级高可用大模型、优质banana、逆向、纯AZ、优质gemini、Claude Code专属、官转gemini、官转 下模型 gemini-robotics-er-1.5-preview 无可用渠道（distributor）"",""type"":""new_api_error""}}"
gemma-2b-it,N.A,http_error_500,"{""error"":{""message"":""unknown error (request id: 2026031722124648501549ZZYxZUEz)"",""type"":"""",""param"":"""",""code"":null}}",N.A,http_error_500,"{""error"":{""message"":""unknown error (request id: 20260317223624729306141i57t5bE2)"",""type"":"""",""param"":"""",""code"":null}}"
gemma-7b-it,N.A,http_error_500,"{""error"":{""message"":""unknown error (request id: 202603172212506462519848kPPCxYN)"",""type"":"""",""param"":"""",""code"":null}}",N.A,http_error_500,"{""error"":{""message"":""unknown error (request id: 20260317223624549361565QCiEiCie)"",""type"":"""",""param"":"""",""code"":null}}"
glm-3-turbo,N.A,ok,我的主要训练语料截止到2022年。,能联网,ok,哈梅内伊于2026年2月28日在美以联合军事打击中身亡。
glm-4,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,抱歉，我无法上网进行实时查询。目前没有任何公开信息显示哈梅内伊在2026年去世。如果你需要最新消息，建议查阅可靠的新闻来源。
glm-4-air,2023-10,ok,我的知识截止到2023年10月。,能联网,ok,2026年2月28日，伊朗最高领袖阿里·哈梅内伊在美国和以色列的联合军事打击中身亡。
glm-4-airx,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,您好，我无法连接互联网进行实时查证。根据我截至2023年10月的知识，哈梅内伊还在世。如需最新信息，建议查阅可靠的新闻来源或官方公告。
glm-4-flash,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,我无法访问实时互联网或进行在线搜索。截至2023年10月的资料显示，哈梅内伊（伊朗最高领袖）目前仍在世，关于他2026年去世的消息没有公开的可信信息。
glm-4-long,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,您好，我无法上网查找实时信息。根据我训练到的最新信息（截止到2023年10月），哈梅内伊还在世，没有关于他在2026年去世的官方信息。建议您查阅最新的新闻来源以获取确切消息。
glm-4.5,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,我无法访问互联网进行实时查询。根据我截至2023年10月的知识，哈梅内伊在2026年并没有去世的记录。如果你需要最新的信息，建议查阅可信的新闻来源。
glm-4.5-air,2023-09,ok,我的知识截止于2023年9月。,不能联网,ok,根据公开信息，伊朗最高领袖哈梅内伊（Ali Khamenei）目前仍然在世，生于1939年7月19日，并未在2026年去世。如果您指的是其他人物或信息有误，请提供更多细节，我会继续帮您查询。
glm-4.5-airx,2023-10,ok,我的知识截止到2023年10月。,能联网,ok,哈梅内伊于2026年2月28日在美以联合军事打击中身亡。
glm-4.5-flash,2023-10,ok,我的知识截止到2023年10月。,N.A,TimeoutError,The read operation timed out
glm-4.5-x,N.A,ok,我的知识截止到2023年底。,N.A,TimeoutError,The read operation timed out
glm-4.6,N.A,ok,我的知识截止到2023年初。,不能联网,ok,"根据我查到的信息，伊朗最高领袖哈梅内伊目前仍然在世。

关于他将在2026年去世的说法，目前没有任何可靠的新闻来源或官方消息证实。预测未来的具体事件，尤其是某人的去世日期，是无法做到的。

因此，我无法提供一个不存在的日期。网络上关于他健康状况的讨论多为猜测，并非已确认的事实。"
glm-4.6-thinking,N.A,ok,我的知识库主要涵盖到2023年初。但我可以访问实时信息来回答一些最新问题。,不能联网,ok,"您好，根据我查到的最新信息，伊朗最高领袖哈梅内伊目前仍然在世。

因此，关于他2026年去世以及具体日期的说法，是无法查证的，因为这是对未来的预测。目前没有任何可靠信息或官方消息证实这一点。"
glm-4.6v,N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317221314715679571U6UtLi4R)"",""type"":""shell_api_error"",""param"":"""",""code"":null}}",N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317223649207706617Jdd5hLyI)"",""type"":""shell_api_error"",""param"":"""",""code"":null}}"
glm-4.7,N.A,ok,我的知识截止到2023年底。,不能联网,ok,哈梅内伊目前还健在，并没有关于他在2026年去世的消息。2026年是未来时间，无法预知具体日期。
glm-4.7-thinking,2023-12,ok,我的知识截止到 2023 年 12 月。,不能联网,ok,"截至目前，阿里·哈梅内伊依然在世。

关于他将于2026年去世的消息并无官方证实或确切日期，这属于未来事件的预测，无法查证。"
glm-5,2024-04,ok,我的知识截止于2024年4月。,不能联网,ok,"哈梅内伊目前仍然在世，关于他“2026年去世”的说法属于**谣言**或**虚假信息**，网络上并没有任何可信来源证实此事。

请以官方新闻机构发布的消息为准，切勿轻信网络上的预测性传言。"
gpt-3.5-turbo-1106,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,抱歉，我无法上网查找实时信息或未来事件。我的知识截至到2023年10月。如果你有其他问题或需要了解的内容，请告诉我！
gpt-4,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,目前没有任何可靠的消息或官方报道证明哈梅内伊将在2026年去世，也没有关于其确切去世日期的信息。建议您关注权威新闻媒体以获取最新、准确的信息。
gpt-4-0125-preview,2023-10,ok,我的知识截止日期为2023年10月。,不能联网,ok,很抱歉，我无法上网查询最新信息。另外，目前没有任何可信的公开消息或权威报道表明哈梅内伊会在2026年去世。请注意，未来事件的信息往往充满不确定性，并且未经证实的消息可能并不可靠。如果你对这一问题感兴趣，建议关注主流媒体和权威消息来源的最新报道。
gpt-4-0613,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,我无法访问互联网进行实时查询，但根据现有公开的信息和可靠新闻报道，没有任何权威消息表明哈梅内伊在2026年去世。关于这类消息，请您以主流媒体和官方渠道的信息为准。如果您看到相关信息，建议核实消息来源的可靠性。
gpt-4-32k,N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317221325909253322C97ncid7)"",""type"":""upstream_error"",""param"":"""",""code"":null}}",N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317223705590268869L8yyzHKB)"",""type"":""upstream_error"",""param"":"""",""code"":null}}"
gpt-4-32k-0613,N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317221326150356232qKswGRD0)"",""type"":""shell_api_error"",""param"":"""",""code"":null}}",N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317223708457489195xtboT1Kd)"",""type"":""upstream_error"",""param"":"""",""code"":null}}"
gpt-4-all,2023-11,ok,我的知识更新到 2023 年 11 月。,N.A,TimeoutError,The read operation timed out
gpt-4-gizmo-*,2023-11,ok,我的知识截止到 2023 年 11 月。,不能联网,ok,抱歉，我无法上网查找信息。不过，你可以自行通过搜索引擎查询最新的信息。如果有其他问题，我很乐意帮忙！
gpt-4-turbo,2023-10,ok,我的知识截止日期是2023年10月。,不能联网,ok,目前没有任何可靠来源或权威报道表明哈梅内伊在2026年死亡。公开的新闻报道和官方消息中，并未出现此类信息。请注意，网络上可能存在误传或谣言，建议以权威媒体和官方声明为准。目前可以确定的是，关于哈梅内伊未来去世日期的说法没有事实依据，也没有可信的来源支持这一信息。
gpt-4-turbo-2024-04-09,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,抱歉，我无法上网实时查找信息。此外，2026年还未到来，也没有任何可靠报道显示哈梅内伊会在那时去世。目前公开的信息中，他仍然健在。如果遇到此类信息，建议核查权威新闻渠道以确认消息的真实性。
gpt-4-turbo-preview,2023-10,ok,我的知识截止于2023年10月。,不能联网,ok,我无法实时访问互联网来查询最新信息。不过，根据目前公开、权威的消息，并没有可靠报道说明哈梅内伊（阿里·哈梅内伊）在2026年去世。实际上，2026年还未到，目前所有主流媒体和官方渠道中也没有此类消息。如果你看到了相关信息，建议核实来源，以免误信未经证实的传言。
gpt-4-vision-preview,2024-10,ok,我的知识截止到2024年10月。,不能联网,ok,你好，我无法实时上网查找最新信息。截至我知识截止于2024年10月，没有关于哈梅内伊2026年去世的可靠消息或报道。如果你有其他问题，我很乐意帮忙。
gpt-4.1,2024-06,ok,我的知识截止到2024年6月。,不能联网,ok,截至我最新的数据（2024年6月），伊朗最高领袖阿里·哈梅内伊（Ali Khamenei）仍然在世，并没有关于他在2026年去世的消息。如果你有其他问题或需要最新动态，请随时告诉我！
gpt-4.1-2025-04-14,2024-06,ok,我的知识截止到2024年6月。,不能联网,ok,截至目前（2024年6月），伊朗最高领袖阿亚图拉·哈梅内伊（Ali Khamenei）仍然在世，并没有关于他在2026年去世的官方消息或报道。如果你有其他相关问题，欢迎继续提问。
gpt-4.1-mini,2024-06,ok,我的知识截止到2024年6月。,不能联网,ok,抱歉，我无法找到哈梅内伊2026年去世的相关信息。根据目前公开的资料，哈梅内伊仍然在世。如果你有其他问题，我很乐意帮忙。
gpt-4.1-mini-2025-04-14,2024-06,ok,我的知识截止到2024年6月。,不能联网,ok,抱歉，我无法提供关于哈梅内伊2026年去世的信息，因为截至目前没有相关的可靠消息或报道。如果你有其他问题，我很乐意帮忙。
gpt-4.1-nano,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,你好，我无法实时上网查阅最新信息。据我所知，截至2023年10月，哈梅内伊仍然健在。关于他2026年去世的消息没有可靠的公开资料。请注意核实信息来源的真实性。
gpt-4.1-nano-2025-04-14,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,你好，我无法进行实时上网搜索。截至我最新的知识更新（2023年10月），没有关于哈梅内伊在2026年去世的可靠信息。请注意核实信息的来源。
gpt-4o,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,我无法上网查找实时信息，并且截至我的知识截止日期（2023年），伊朗最高领袖阿里·哈梅内伊仍然在世。如果你需要了解最新情况，请参考可靠的新闻来源或查询相关信息。
gpt-4o-2024-05-13,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,对不起，我无法访问互联网并查找实时信息。根据我截至2023年10月的训练数据，伊朗最高领袖阿里·哈梅内伊仍然在世。如果你需要了解最新的情况，建议你查阅最新的新闻报道或使用搜索引擎进行查询。
gpt-4o-2024-08-06,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,抱歉，我无法查找或访问实时信息或未来事件的数据。我只能提供截至2023年10月的信息。如果你有其他问题或需要帮助，请随时告诉我。
gpt-4o-2024-11-20,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,我无法上网实时查询信息，并且截至我最新的知识更新（2023年10月），伊朗最高领袖阿里·哈梅内伊仍然在世。如果你有其他问题或需要帮助，请告诉我！
gpt-4o-all,2023-11,ok,我的知识更新到 **2023 年 11 月**。,N.A,TimeoutError,The read operation timed out
gpt-4o-audio-preview,N.A,http_error_429,"{""error"":{""message"":""This model requires that either input content or output modality contain audio. (request id: 20260317221346226100072WaUyuEhs)"",""type"":""invalid_request_error"",""param"":""model"",""code"":""invalid_value""}}",N.A,http_error_429,"{""error"":{""message"":""This model requires that either input content or output modality contain audio. (request id: 202603172237289065135513lGwa9H4)"",""type"":""invalid_request_error"",""param"":""model"",""code"":""invalid_value""}}"
gpt-4o-audio-preview-2024-10-01,N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317221347579804000RvL7MQJv)"",""type"":""upstream_error"",""param"":"""",""code"":null}}",N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 202603172237295032700541X6bfght)"",""type"":""upstream_error"",""param"":"""",""code"":null}}"
gpt-4o-audio-preview-2024-12-17,N.A,http_error_429,"{""error"":{""message"":""This model requires that either input content or output modality contain audio. (request id: 20260317221348636119045UpyHfoNc)"",""type"":""invalid_request_error"",""param"":""model"",""code"":""invalid_value""}}",N.A,http_error_429,"{""error"":{""message"":""This model requires that either input content or output modality contain audio. (request id: 20260317223739220459954KnAXn69w)"",""type"":""invalid_request_error"",""param"":""model"",""code"":""invalid_value""}}"
gpt-4o-image-vip,N.A,TimeoutError,The read operation timed out,N.A,TimeoutError,The read operation timed out
gpt-4o-mini,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,抱歉，我无法上网查找实时信息或未来事件。我的知识截至到2023年10月。如果你有其他问题或需要了解的信息，请告诉我！
gpt-4o-mini-2024-07-18,2023-10,ok,我的知识截止到2023年10月。,不能联网,ok,抱歉，我无法上网查找实时信息或未来事件。我的知识截至到2023年10月。如果你有其他问题或需要了解的内容，请告诉我！
gpt-4o-mini-audio-preview,N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317221351598942923nTLhGjbY)"",""type"":""upstream_error"",""param"":"""",""code"":""model_price_error""}}",N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317223736818119161AOYYd9PC)"",""type"":""upstream_error"",""param"":"""",""code"":""model_price_error""}}"
gpt-4o-mini-audio-preview-2024-12-17,N.A,http_error_429,"{""error"":{""message"":""This model requires that either input content or output modality contain audio. (request id: 202603172213539418232538HlTL53w)"",""type"":""invalid_request_error"",""param"":""model"",""code"":""invalid_value""}}",N.A,http_error_429,"{""error"":{""message"":""This model requires that either input content or output modality contain audio. (request id: 20260317223737741429784xDC8nQVh)"",""type"":""invalid_request_error"",""param"":""model"",""code"":""invalid_value""}}"
gpt-4o-mini-realtime-preview-2024-12-17,N.A,http_error_429,"{""error"":{""message"":""The chatCompletion operation does not work with the specified model, gpt-4o-mini-realtime-preview. Please choose different model and try again. You can learn more about which models can be used with each operation here: https://***.com/***?linkid=*** (request id: 20260317221355147888811dI0RuIbP)"",""type"":""upstream_error"",""param"":"""",""code"":""OperationNotSupported""}}",N.A,http_error_429,"{""error"":{""message"":""The chatCompletion operation does not work with the specified model, gpt-4o-mini-realtime-preview. Please choose different model and try again. You can learn more about which models can be used with each operation here: https://***.com/***?linkid=*** (request id: 202603172237387921835862Y4SonFK)"",""type"":""upstream_error"",""param"":"""",""code"":""OperationNotSupported""}}"
gpt-4o-search-preview-2025-03-11,N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 20260317221355727769867nad6o4v0)"",""type"":""new_api_error"",""param"":"""",""code"":""model_not_found""}}",N.A,http_error_429,"{""error"":{""message"":""当前分组上游负载已饱和，请稍后再试 (request id: 202603172237411680106110Aqlzjw7)"",""type"":""new_api_error"",""param"":"""",""code"":""model_not_found""}}"
gpt-5,2024-10,ok,我的知识截止到2024年10月。,不能联网,ok,"我目前无法直接上网检索。截止我已知的最新信息（到2024年10月），阿里·哈梅内伊仍在世，无法确认他在2026年的具体去世日期。  
如果你能提供相关新闻链接，我可以帮你核实并提取日期；或者在启用联网查询后，我可以替你查证。你也可直接查看权威媒体（如路透社、AP、BBC、纽约时报、半岛电视台、伊朗国家通讯社 IRNA）关于“哈梅内伊 去世 日期 2026”的报道。"
gpt-5-2025-08-07,2024-10,ok,我的知识截止到2024年10月。,不能联网,ok,"抱歉，我目前无法联网实时查询。我的知识截至2024年10月，当时阿里·哈梅内伊仍在世；对于“他在2026年去世”的说法我无法核实，也没有确切日期信息。

建议你：
- 查询权威来源并相互印证：伊朗国家通讯社 IRNA、路透社、AP、美联社、BBC、半岛电视台，以及伊朗最高领袖官方网站（leader.ir）和伊朗国家电视台。
- 注意有时会使用伊朗历（Solar Hijri），需要换算为公历日期。

如果你提供具体新闻链接或截图，我可以帮你核对并提炼关键信息。"
gpt-5-all,2021-09,ok,我的知识截止到2021年9月。,能联网,ok,"> search(""你好，请上网查一下，哈梅内伊2026年死了，你查一下是哪天，告诉我"")

根据**权威媒体和公开资料**查到的信息：  

**伊朗最高领袖**阿里·哈梅内伊（Ayatollah Ali Khamenei）确实已于 **2026年2月28日** 在一次美以联合空袭中被击中身亡。随后伊朗官方媒体、新华社等确认了他的死讯，并宣布全国哀悼40天。
> **[阿里·哈梅内伊之死](https://zh.wikipedia.org/wiki/%E9%98%BF%E9%87%8C%C2%B7%E5%93%88%E6%A2%85%E5%86%85%E4%BC%8A%E4%B9%8B%E6%AD%BB?utm_source=chatgpt.com)** · *zh.wikipedia.org*


👉 **逝世时间**：2026年2月28日（当地时间）。
> **[阿里·哈梅内伊之死](https://zh.wikipedia.org/wiki/%E9%98%BF%E9%87%8C%C2%B7%E5%93%88%E6%A2%85%E5%86%85%E4%BC%8A%E4%B9%8B%E6%AD%BB?utm_source=chatgpt.com)** · *zh.wikipedia.org*


如果你还想看相关报道链接我也可以给你—但目前可信结论是这个日期。"
